date,canteen,product_id,unit_sold,total_sales,weather,season,academic_calendar,time_of_sale,product_name,price,cost
1/1/2022,A,1000,20,582,Snowy,Winter,Winter,Evening,Pakora (Bhaji),29,8
1/1/2022,D,1001,17,1885,Snowy,Winter,Winter,Morning,Dahi Puri,111,91
1/1/2022,C,1002,3,189,Snowy,Winter,Winter,Morning,Burrito Bowl,116,96
1/1/2022,D,1003,15,1845,Snowy,Winter,Winter,Morning,Sushi Rolls (Veg),123,32
1/2/2022,D,1004,20,575,Snowy,Winter,Holiday,Evening,Onion Rings,29,14
1/2/2022,E,1005,15,409,Snowy,Winter,Holiday,Morning,Dhokla,77,57
1/2/2022,A,1006,18,1373,Snowy,Winter,Holiday,Morning,Quesadillas,76,58
1/2/2022,D,1007,10,972,Snowy,Winter,Holiday,Morning,Misal Pav,97,81
1/2/2022,C,1008,5,554,Snowy,Winter,Holiday,Evening,Dahi Puri,111,91
1/2/2022,A,1009,11,1422,Snowy,Winter,Holiday,Afternoon,Pudding,129,90
1/3/2022,C,1010,2,219,Snowy,Winter,Break,Afternoon,Kheer,109,24
1/3/2022,E,1011,1,29,Snowy,Winter,Break,Evening,Onion Rings,29,14
1/3/2022,B,1012,9,1325,Snowy,Winter,Break,Evening,Fruit Juice (various types),147,76
1/3/2022,C,1013,13,1631,Snowy,Winter,Break,Morning,Grilled Vegetable Sandwich,125,72
1/3/2022,A,1014,6,84,Snowy,Winter,Break,Afternoon,Pav Bhaji,65,45
1/3/2022,A,1015,19,634,Snowy,Winter,Break,Evening,Spring Rolls,71,51
1/3/2022,A,1016,20,2443,Snowy,Winter,Break,Evening,Avocado Toast,122,65
1/4/2022,B,1017,20,1247,Cloudy,Winter,Winter,Afternoon,Milkshake (various flavors),103,83
1/4/2022,B,1018,8,867,Cloudy,Winter,Winter,Evening,Quesadillas,108,49
1/4/2022,B,1019,14,1517,Cloudy,Winter,Winter,Evening,Quesadillas,108,49
1/4/2022,E,1020,10,877,Cloudy,Winter,Winter,Afternoon,Chai (Tea),111,91
1/4/2022,B,1021,14,1144,Cloudy,Winter,Winter,Afternoon,Mixed Bean Salad,82,9
1/4/2022,E,1022,8,140,Cloudy,Winter,Winter,Afternoon,Greek Yogurt with Fruits,52,32
1/4/2022,C,1023,11,1497,Cloudy,Winter,Winter,Morning,Coconut Water,136,64
1/4/2022,C,1024,3,370,Cloudy,Winter,Winter,Afternoon,Vegetable Pulao,123,54
1/5/2022,D,1025,18,1472,Cloudy,Winter,Fall,Afternoon,Mixed Bean Salad,82,9
1/5/2022,B,1026,15,1488,Cloudy,Winter,Fall,Evening,Noodles (Chowmein),99,85
1/5/2022,A,1027,17,239,Cloudy,Winter,Fall,Afternoon,Pav Bhaji,65,45
1/5/2022,E,1028,13,1156,Cloudy,Winter,Fall,Afternoon,Lemonade,89,7
1/5/2022,C,1029,14,1810,Cloudy,Winter,Fall,Morning,Pudding,129,90
1/5/2022,E,1030,6,530,Cloudy,Winter,Fall,Morning,Steamed Dumplings,88,59
1/5/2022,E,1031,17,453,Cloudy,Winter,Fall,Evening,Bhel Puri,113,93
1/5/2022,E,1032,3,265,Cloudy,Winter,Fall,Evening,French Fries,88,71
1/5/2022,D,1033,5,699,Cloudy,Winter,Fall,Evening,Sev Puri,140,63
1/5/2022,A,1034,17,297,Cloudy,Winter,Fall,Morning,Greek Yogurt with Fruits,52,32
1/5/2022,E,1035,1,11,Cloudy,Winter,Fall,Afternoon,Dhokla,113,93
1/5/2022,A,1036,3,296,Cloudy,Winter,Fall,Morning,Chole Bhature,99,16
1/5/2022,E,1037,20,1492,Cloudy,Winter,Fall,Evening,Quinoa Salad,75,42
1/5/2022,C,1038,5,63,Cloudy,Winter,Fall,Afternoon,Pani Puri/Golgappa,53,33
1/6/2022,A,1039,15,955,Rainy,Winter,Exam,Morning,Energy Drinks,64,45
1/6/2022,A,1040,7,855,Rainy,Winter,Exam,Afternoon,Avocado Toast,122,65
1/6/2022,C,1041,14,1512,Rainy,Winter,Exam,Evening,Dal Makhani,108,58
1/6/2022,A,1042,6,490,Rainy,Winter,Exam,Evening,Mixed Bean Salad,82,9
1/6/2022,D,1043,0,0,Rainy,Winter,Exam,Afternoon,Gulab Jamun,128,79
1/6/2022,B,1044,13,991,Rainy,Winter,Exam,Evening,Quesadillas,76,58
1/6/2022,B,1045,7,899,Rainy,Winter,Exam,Afternoon,Gulab Jamun,128,79
1/7/2022,A,1046,19,562,Rainy,Winter,Fall,Morning,Coffee,54,34
1/7/2022,D,1047,16,1412,Rainy,Winter,Fall,Afternoon,French Fries,88,71
1/7/2022,A,1048,14,968,Rainy,Winter,Fall,Evening,Buttermilk (Chaas),104,84
1/7/2022,C,1049,8,112,Rainy,Winter,Fall,Afternoon,Pav Bhaji,65,45
1/7/2022,B,1050,12,1322,Rainy,Winter,Fall,Morning,Pesarattu,110,90
1/7/2022,A,1051,15,484,Rainy,Winter,Fall,Afternoon,Ragda Pattice,92,72
1/7/2022,A,1052,3,87,Rainy,Winter,Fall,Morning,Pakora (Bhaji),29,8
1/7/2022,D,1053,3,108,Rainy,Winter,Fall,Morning,Paneer Tikka,110,90
1/7/2022,A,1054,13,991,Rainy,Winter,Fall,Morning,Quesadillas,76,58
1/7/2022,C,1055,17,1636,Rainy,Winter,Fall,Afternoon,Jalebi,96,15
1/8/2022,D,1056,7,240,Sunny,Winter,Holiday,Morning,Fruit Custard,76,56
1/8/2022,A,1057,15,1548,Sunny,Winter,Holiday,Afternoon,Chikki,103,19
1/8/2022,A,1058,5,699,Sunny,Winter,Holiday,Afternoon,Sev Puri,140,63
1/8/2022,A,1059,11,293,Sunny,Winter,Holiday,Afternoon,Bhel Puri,113,93
1/8/2022,B,1060,13,384,Sunny,Winter,Holiday,Morning,Coffee,54,34
1/8/2022,A,1061,1,85,Sunny,Winter,Holiday,Evening,Pizza (Veg/Non-Veg),85,41
1/8/2022,B,1062,20,1766,Sunny,Winter,Holiday,Evening,Steamed Dumplings,88,59
1/9/2022,D,1063,1,75,Snowy,Winter,Exam,Evening,Quinoa Salad,75,42
1/9/2022,A,1064,6,283,Snowy,Winter,Exam,Morning,Caesar Salad,90,70
1/9/2022,C,1065,4,149,Snowy,Winter,Exam,Evening,Greek Salad,37,13
1/9/2022,D,1066,4,152,Snowy,Winter,Exam,Morning,Fried Rice (Veg/Non-Veg),38,21
1/9/2022,E,1067,18,314,Snowy,Winter,Exam,Evening,Greek Yogurt with Fruits,52,32
1/9/2022,B,1068,14,1382,Snowy,Winter,Exam,Morning,Chole Bhature,99,16
1/10/2022,D,1069,3,419,Snowy,Winter,Fall,Morning,Sev Puri,140,63
1/10/2022,E,1070,10,624,Snowy,Winter,Fall,Morning,Milkshake (various flavors),103,83
1/10/2022,E,1071,18,1785,Snowy,Winter,Fall,Afternoon,Noodles (Chowmein),99,85
1/10/2022,E,1072,10,465,Snowy,Winter,Fall,Evening,"Soda (Cola, Lemon)",46,43
1/10/2022,B,1073,20,2460,Snowy,Winter,Fall,Evening,Sushi Rolls (Veg),123,32
1/10/2022,D,1074,14,521,Snowy,Winter,Fall,Morning,Greek Salad,37,13
1/10/2022,B,1075,0,0,Snowy,Winter,Fall,Afternoon,Grilled Vegetable Sandwich,125,72
1/11/2022,A,1076,11,1454,Snowy,Winter,Exam,Morning,Idli,132,72
1/11/2022,D,1077,5,551,Snowy,Winter,Exam,Afternoon,Pesarattu,110,90
1/11/2022,D,1078,10,323,Snowy,Winter,Exam,Evening,Ragda Pattice,92,72
1/11/2022,D,1079,12,1677,Snowy,Winter,Exam,Morning,Sev Puri,140,63
1/11/2022,D,1080,4,353,Snowy,Winter,Exam,Morning,Steamed Dumplings,88,59
1/11/2022,D,1081,7,771,Snowy,Winter,Exam,Morning,Pesarattu,110,90
1/11/2022,A,1082,7,905,Snowy,Winter,Exam,Evening,Pudding,129,90
1/11/2022,A,1083,13,820,Snowy,Winter,Exam,Afternoon,Burrito Bowl,116,96
1/11/2022,C,1084,3,325,Snowy,Winter,Exam,Morning,Quesadillas,108,49
1/11/2022,A,1085,1,91,Snowy,Winter,Exam,Afternoon,Biryani (Veg/Non-Veg),91,72
1/12/2022,E,1086,18,2313,Cloudy,Winter,Holiday,Morning,Gulab Jamun,128,79
1/12/2022,E,1087,5,318,Cloudy,Winter,Holiday,Evening,Aloo Tikki,108,88
1/12/2022,D,1088,19,2052,Cloudy,Winter,Holiday,Evening,Dal Makhani,108,58
1/12/2022,B,1089,17,2184,Cloudy,Winter,Holiday,Afternoon,Gulab Jamun,128,79
1/12/2022,C,1090,3,34,Cloudy,Winter,Holiday,Morning,Dhokla,113,93
1/12/2022,B,1091,17,1060,Cloudy,Winter,Holiday,Evening,Milkshake (various flavors),103,83
1/13/2022,C,1092,20,929,Sunny,Winter,Summer,Morning,"Soda (Cola, Lemon)",46,43
1/13/2022,C,1093,0,0,Sunny,Winter,Summer,Evening,Whole Wheat Wraps,128,85
1/13/2022,C,1094,5,646,Sunny,Winter,Summer,Afternoon,Pudding,129,90
1/13/2022,C,1095,19,1848,Sunny,Winter,Summer,Evening,Misal Pav,97,81
1/13/2022,B,1096,19,2586,Sunny,Winter,Summer,Morning,Coconut Water,136,64
1/13/2022,A,1097,3,191,Sunny,Winter,Summer,Morning,Aloo Tikki,108,88
1/14/2022,A,1098,17,1026,Cloudy,Winter,Fall,Morning,Bhel Puri,104,84
1/14/2022,A,1099,18,1951,Cloudy,Winter,Fall,Morning,Quesadillas,108,49
1/14/2022,D,1100,17,1873,Cloudy,Winter,Fall,Evening,Pesarattu,110,90
1/14/2022,E,1101,4,116,Cloudy,Winter,Fall,Afternoon,Pakora (Bhaji),29,8
1/14/2022,C,1102,20,1492,Cloudy,Winter,Fall,Evening,Quinoa Salad,75,42
1/14/2022,D,1103,3,254,Cloudy,Winter,Fall,Morning,Pizza (Veg/Non-Veg),85,41
1/14/2022,C,1104,18,600,Cloudy,Winter,Fall,Afternoon,Spring Rolls,71,51
1/14/2022,E,1105,6,367,Cloudy,Winter,Fall,Afternoon,Wraps and Rolls,61,15
1/14/2022,D,1106,2,178,Cloudy,Winter,Fall,Afternoon,Samosa,89,40
1/14/2022,D,1107,5,236,Cloudy,Winter,Fall,Afternoon,Caesar Salad,90,70
1/14/2022,D,1108,17,583,Cloudy,Winter,Fall,Afternoon,Fruit Custard,76,56
1/14/2022,B,1109,14,1906,Cloudy,Winter,Fall,Morning,Coconut Water,136,64
1/15/2022,D,1110,11,366,Rainy,Winter,Spring,Afternoon,Rasgulla,109,89
1/16/2022,A,1111,18,987,Cloudy,Winter,Winter,Afternoon,Ice Cream (various flavors),55,35
1/16/2022,E,1112,12,1095,Cloudy,Winter,Winter,Morning,Biryani (Veg/Non-Veg),91,72
1/16/2022,A,1113,2,28,Cloudy,Winter,Winter,Evening,Pav Bhaji,65,45
1/16/2022,E,1114,18,2478,Cloudy,Winter,Winter,Morning,Pav Bhaji,138,80
1/16/2022,D,1115,16,2069,Cloudy,Winter,Winter,Afternoon,Pudding,129,90
1/16/2022,C,1116,13,684,Cloudy,Winter,Winter,Morning,Thai Green Curry,53,44
1/17/2022,C,1117,20,1223,Rainy,Winter,Break,Morning,Wraps and Rolls,61,15
1/17/2022,C,1118,16,1019,Rainy,Winter,Break,Morning,Aloo Tikki,108,88
1/17/2022,B,1119,9,464,Rainy,Winter,Break,Morning,Aloo Chaat,52,10
1/17/2022,A,1120,5,259,Rainy,Winter,Break,Evening,Sooji Halwa,52,20
1/17/2022,A,1121,18,524,Rainy,Winter,Break,Evening,Pakora (Bhaji),29,8
1/17/2022,B,1122,2,138,Rainy,Winter,Break,Evening,Buttermilk (Chaas),104,84
1/17/2022,D,1123,19,2586,Rainy,Winter,Break,Evening,Coconut Water,136,64
1/17/2022,B,1124,12,1178,Rainy,Winter,Break,Afternoon,"Dosa (Plain, Masala)",98,82
1/17/2022,B,1125,14,175,Rainy,Winter,Break,Morning,Pani Puri/Golgappa,53,33
1/18/2022,A,1126,19,897,Rainy,Winter,Holiday,Evening,Caesar Salad,90,70
1/18/2022,D,1127,9,929,Rainy,Winter,Holiday,Afternoon,Chikki,103,19
1/18/2022,C,1128,9,290,Rainy,Winter,Holiday,Morning,Ragda Pattice,92,72
1/18/2022,A,1129,7,614,Rainy,Winter,Holiday,Morning,Chai (Tea),111,91
1/19/2022,B,1130,3,124,Cloudy,Winter,Exam,Evening,Pani Puri,65,45
1/19/2022,A,1131,5,424,Cloudy,Winter,Exam,Evening,Pizza (Veg/Non-Veg),85,41
1/19/2022,A,1132,0,0,Cloudy,Winter,Exam,Morning,Mixed Bean Salad,82,9
1/19/2022,C,1133,15,1653,Cloudy,Winter,Exam,Evening,Pesarattu,110,90
1/20/2022,B,1134,3,229,Cloudy,Winter,Exam,Afternoon,Quesadillas,76,58
1/20/2022,B,1135,5,552,Cloudy,Winter,Exam,Afternoon,Rajma Chawal,110,31
1/20/2022,A,1136,6,838,Cloudy,Winter,Exam,Evening,Sev Puri,140,63
1/20/2022,D,1137,6,177,Cloudy,Winter,Exam,Morning,Coffee,54,34
1/20/2022,A,1138,10,372,Cloudy,Winter,Exam,Afternoon,Greek Salad,37,13
1/20/2022,A,1139,10,291,Cloudy,Winter,Exam,Morning,Pakora (Bhaji),29,8
1/20/2022,E,1140,12,1095,Cloudy,Winter,Exam,Evening,Biryani (Veg/Non-Veg),91,72
1/20/2022,C,1141,6,430,Cloudy,Winter,Exam,Evening,Aloo Gobi,72,33
1/20/2022,B,1142,20,1635,Cloudy,Winter,Exam,Afternoon,Mixed Bean Salad,82,9
1/21/2022,A,1143,7,861,Rainy,Winter,Exam,Afternoon,Sushi Rolls (Veg),123,32
1/21/2022,E,1144,13,1409,Rainy,Winter,Exam,Afternoon,Quesadillas,108,49
1/21/2022,D,1145,7,201,Rainy,Winter,Exam,Morning,Onion Rings,29,14
1/21/2022,E,1146,19,2337,Rainy,Winter,Exam,Morning,Sushi Rolls (Veg),123,32
1/21/2022,C,1147,2,170,Rainy,Winter,Exam,Morning,Pizza (Veg/Non-Veg),85,41
1/21/2022,A,1148,20,2204,Rainy,Winter,Exam,Afternoon,Pesarattu,110,90
1/22/2022,E,1149,14,381,Snowy,Winter,Holiday,Evening,Dhokla,77,57
1/22/2022,E,1150,6,382,Snowy,Winter,Holiday,Evening,Energy Drinks,64,45
1/22/2022,D,1151,16,824,Snowy,Winter,Holiday,Evening,Aloo Chaat,52,10
1/22/2022,D,1152,18,599,Snowy,Winter,Holiday,Morning,Rasgulla,109,89
1/22/2022,A,1153,19,216,Snowy,Winter,Holiday,Afternoon,Dhokla,113,93
1/22/2022,D,1154,17,2247,Snowy,Winter,Holiday,Afternoon,Idli,132,72
1/22/2022,B,1155,16,516,Snowy,Winter,Holiday,Afternoon,Ragda Pattice,92,72
1/22/2022,A,1156,18,334,Snowy,Winter,Holiday,Afternoon,Falafel Plate,55,35
1/22/2022,B,1157,20,545,Snowy,Winter,Holiday,Morning,Dhokla,77,57
1/23/2022,A,1158,13,467,Cloudy,Winter,Holiday,Evening,Paneer Tikka,110,90
1/23/2022,D,1159,13,1156,Cloudy,Winter,Holiday,Evening,Lemonade,89,7
1/23/2022,E,1160,6,826,Cloudy,Winter,Holiday,Afternoon,Pav Bhaji,138,80
1/23/2022,C,1161,13,346,Cloudy,Winter,Holiday,Morning,Bhel Puri,113,93
1/23/2022,D,1162,11,1192,Cloudy,Winter,Holiday,Afternoon,Quesadillas,108,49
1/23/2022,E,1163,1,55,Cloudy,Winter,Holiday,Evening,Ice Cream (various flavors),55,35
1/23/2022,C,1164,16,422,Cloudy,Winter,Holiday,Morning,Sandwiches (various fillings),26,10
1/23/2022,A,1165,14,1906,Cloudy,Winter,Holiday,Evening,Coconut Water,136,64
1/23/2022,B,1166,17,611,Cloudy,Winter,Holiday,Morning,Paneer Tikka,110,90
1/23/2022,E,1167,2,23,Cloudy,Winter,Holiday,Afternoon,Dhokla,113,93
1/23/2022,A,1168,17,1442,Cloudy,Winter,Holiday,Morning,Pizza (Veg/Non-Veg),85,41
1/23/2022,C,1169,19,267,Cloudy,Winter,Holiday,Evening,Pav Bhaji,65,45
1/24/2022,D,1170,0,0,Rainy,Winter,Winter,Morning,Vegetable Pulao,123,54
1/24/2022,C,1171,5,439,Rainy,Winter,Winter,Morning,Chai (Tea),111,91
1/24/2022,D,1172,13,684,Rainy,Winter,Winter,Afternoon,Thai Green Curry,53,44
1/24/2022,A,1173,16,1774,Rainy,Winter,Winter,Afternoon,Dahi Puri,111,91
1/25/2022,E,1174,1,90,Rainy,Winter,Holiday,Evening,Hakka Noodles,90,56
1/25/2022,C,1175,16,1774,Rainy,Winter,Holiday,Evening,Dahi Puri,111,91
1/25/2022,E,1176,3,79,Rainy,Winter,Holiday,Morning,Pad Thai,71,51
1/26/2022,B,1177,1,19,Rainy,Winter,Winter,Morning,Falafel Plate,55,35
1/26/2022,A,1178,5,681,Rainy,Winter,Winter,Morning,Coconut Water,136,64
1/26/2022,D,1179,20,2218,Rainy,Winter,Winter,Evening,Dahi Puri,111,91
1/26/2022,D,1180,9,464,Rainy,Winter,Winter,Afternoon,Aloo Chaat,52,10
1/26/2022,D,1181,9,290,Rainy,Winter,Winter,Afternoon,Ragda Pattice,92,72
1/26/2022,B,1182,7,252,Rainy,Winter,Winter,Afternoon,Paneer Tikka,110,90
1/26/2022,D,1183,9,467,Rainy,Winter,Winter,Evening,Sooji Halwa,52,20
1/26/2022,B,1184,7,184,Rainy,Winter,Winter,Afternoon,Sandwiches (various fillings),26,10
1/26/2022,D,1185,14,159,Rainy,Winter,Winter,Afternoon,Dhokla,113,93
1/26/2022,A,1186,19,2632,Rainy,Winter,Winter,Afternoon,Brown Rice Bowl,139,14
1/26/2022,B,1187,4,482,Rainy,Winter,Winter,Afternoon,Vegetable Stir Fry,120,95
1/26/2022,B,1188,11,519,Rainy,Winter,Winter,Evening,Caesar Salad,90,70
1/26/2022,C,1189,14,1361,Rainy,Winter,Winter,Evening,Misal Pav,97,81
1/26/2022,B,1190,17,1296,Rainy,Winter,Winter,Morning,Quesadillas,76,58
1/27/2022,A,1191,4,116,Snowy,Winter,Spring,Evening,Pakora (Bhaji),29,8
1/27/2022,B,1192,15,2209,Snowy,Winter,Spring,Morning,Fruit Juice (various types),147,76
1/27/2022,E,1193,5,136,Snowy,Winter,Spring,Morning,Dhokla,77,57
1/27/2022,B,1194,1,61,Snowy,Winter,Spring,Evening,Wraps and Rolls,61,15
1/27/2022,A,1195,13,1342,Snowy,Winter,Spring,Morning,Chikki,103,19
1/27/2022,D,1196,3,52,Snowy,Winter,Spring,Evening,Greek Yogurt with Fruits,52,32
1/27/2022,E,1197,10,698,Snowy,Winter,Spring,Afternoon,Pasta (various sauces),105,85
1/27/2022,E,1198,0,0,Snowy,Winter,Spring,Morning,Pav Bhaji,138,80
1/27/2022,D,1199,13,1914,Snowy,Winter,Spring,Evening,Fruit Juice (various types),147,76
1/27/2022,B,1200,1,128,Snowy,Winter,Spring,Morning,Whole Wheat Wraps,128,85
1/27/2022,C,1201,6,530,Snowy,Winter,Spring,Morning,Steamed Dumplings,88,59
1/28/2022,A,1202,11,293,Sunny,Winter,Break,Afternoon,Bhel Puri,113,93
1/28/2022,C,1203,11,1188,Sunny,Winter,Break,Evening,Dal Makhani,108,58
1/28/2022,E,1204,16,225,Sunny,Winter,Break,Evening,Pav Bhaji,65,45
1/28/2022,C,1205,1,129,Sunny,Winter,Break,Afternoon,Pudding,129,90
1/28/2022,A,1206,10,1397,Sunny,Winter,Break,Evening,Sev Puri,140,63
1/29/2022,A,1207,15,431,Sunny,Winter,Winter,Evening,Onion Rings,29,14
1/29/2022,E,1208,18,205,Sunny,Winter,Winter,Evening,Dhokla,113,93
1/29/2022,B,1209,6,75,Sunny,Winter,Winter,Evening,Pani Puri/Golgappa,53,33
1/29/2022,D,1210,20,1037,Sunny,Winter,Winter,Evening,Sooji Halwa,52,20
1/29/2022,E,1211,14,1044,Sunny,Winter,Winter,Afternoon,Quinoa Salad,75,42
1/29/2022,C,1212,12,1053,Sunny,Winter,Winter,Evening,Chai (Tea),111,91
1/29/2022,B,1213,1,70,Sunny,Winter,Winter,Morning,Pasta (various sauces),105,85
1/29/2022,B,1214,4,276,Sunny,Winter,Winter,Morning,Buttermilk (Chaas),104,84
1/29/2022,A,1215,8,770,Sunny,Winter,Winter,Evening,Jalebi,96,15
1/29/2022,C,1216,16,842,Sunny,Winter,Winter,Morning,Thai Green Curry,53,44
1/29/2022,B,1217,5,57,Sunny,Winter,Winter,Afternoon,Dhokla,113,93
1/29/2022,C,1218,19,979,Sunny,Winter,Winter,Afternoon,Aloo Chaat,52,10
1/29/2022,B,1219,4,356,Sunny,Winter,Winter,Afternoon,Lemonade,89,7
1/30/2022,E,1220,14,661,Snowy,Winter,Spring,Morning,Caesar Salad,90,70
1/30/2022,E,1221,8,840,Snowy,Winter,Spring,Afternoon,Burger (Veg/Non-Veg),105,60
1/30/2022,B,1222,0,0,Snowy,Winter,Spring,Evening,Onion Rings,29,14
